region,province,municipality_city,barangay,zipcode
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 1,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 2,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 3,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 4,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 5,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 6,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 7,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 8,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 9,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 10,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 11,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 12,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 13,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 14,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 15,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 16,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 17,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 18,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 19,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 20,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 21,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 22,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 23,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 24,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 25,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 26,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 27,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 28,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 29,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 30,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 31,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 32,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 33,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 34,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 35,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 36,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 37,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 38,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 39,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 40,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 41,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 42,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 43,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 44,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 45,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 46,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 47,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 48,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 49,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 50,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 51,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 52,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 53,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 54,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 55,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 56,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 57,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 58,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 59,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 60,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 61,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 62,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 63,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 64,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 65,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 66,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 67,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 68,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 69,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 70,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 71,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 72,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 73,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 74,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 75,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 76,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 77,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 78,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 79,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 80,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 81,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 82,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 83,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 84,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 85,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 86,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 87,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 88,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 89,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 90,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 91,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 92,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 93,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 94,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 95,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 96,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 97,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 98,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 99,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 100,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 101,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 102,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 103,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 104,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 105,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 106,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 107,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 108,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 109,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 110,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 111,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 112,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 113,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 114,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 115,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 116,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 117,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 118,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 119,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 120,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 121,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 122,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 123,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 124,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 125,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 126,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 127,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 128,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 129,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 130,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 131,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 132,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 133,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 134,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 135,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 136,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 137,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 138,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 139,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 140,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 141,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 142,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 143,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 144,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 145,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 146,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 147,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 148,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 149,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 150,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 151,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 152,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 153,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 154,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 155,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 156,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 157,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 158,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 159,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 160,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 161,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 162,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 163,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 164,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 165,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 166,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 167,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 168,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 169,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 170,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 171,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 172,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 173,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 174,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 175,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 177,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 178,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 179,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 180,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 181,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 182,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 183,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 184,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 185,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 186,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 187,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 188,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 176-A,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 176-B,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 176-C,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 176-D,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 176-E,
National Capital Region (NCR),Caloocan,City Of Caloocan,Barangay 176-F,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Almanza Uno,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Daniel Fajardo,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Elias Aldana,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Ilaya,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Manuyo Uno,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Pamplona Uno,
"REGION I – ILOCOS REGION","ILOCOS NORTE","Adams","","2922"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Bacarra","","2916"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Badoc","","2904"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Bangui","","2920"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Burgos","","2918"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Carasi","","2911"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Currimao","","2903"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Dingras","","2913"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Dumalneg","","2921"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Laoag City","","2900"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Marcos","","2907"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Nueva Era","","2909"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Pagudpud","","2919"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Paoay","","2902"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Pasuquin","","2917"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Piddig","","2912"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Pinili","","2905"
"REGION I – ILOCOS REGION","ILOCOS NORTE","San Nicolas","","2901"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Sarrat","","2914"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Solsona","","2910"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Vintar","","2915"
"REGION I – ILOCOS REGION","ILOCOS NORTE","Batac City","","2906"
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Pulang Lupa Uno,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Talon Uno,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Zapote,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Almanza Dos,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,B F International Village,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Manuyo Dos,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Pamplona Dos,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Pamplona Tres,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Pilar,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Pulang Lupa Dos,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Talon Dos,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Talon Tres,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Talon Kuatro,
National Capital Region (NCR),Las Pinas,City Of Las Pinas,Talon Singko,
National Capital Region (NCR),Makati,City Of Makati,Bangkal,
National Capital Region (NCR),Makati,City Of Makati,Bel-Air,
National Capital Region (NCR),Makati,City Of Makati,Carmona,
National Capital Region (NCR),Makati,City Of Makati,Dasmarinas,
National Capital Region (NCR),Makati,City Of Makati,Forbes Park,
National Capital Region (NCR),Makati,City Of Makati,Guadalupe Nuevo,
National Capital Region (NCR),Makati,City Of Makati,Guadalupe Viejo,
National Capital Region (NCR),Makati,City Of Makati,Kasilawan,
National Capital Region (NCR),Makati,City Of Makati,La Paz,
